org_key,organization,org_type,enrichment_json,enriched_at
bbebd70079c3575655570ea2d22264b6,Columbia Investment Management Company,Endowment,"{""organization"": ""Columbia Investment Management Company"", ""org_type"": ""Endowment"", ""enrichment_summary"": ""Columbia Investment Management Company is responsible for managing the endowment of Columbia University, with a focus on long-term investments to support the university's mission. The endowment has a significant allocation to alternative investments, including private equity and real assets. Columbia has also demonstrated a commitment to sustainable investing and ESG considerations."", ""aum_raw"": ""$11.3B"", ""aum_usd"": 11300000000, ""is_lp"": true, ""is_gp_or_service_provider"": false, ""external_fund_allocations"": true, ""sustainability_mandate"": true, ""private_credit_allocation"": true, ""emerging_manager_program"": false, ""brand_recognition"": ""global"", ""notable_facts"": ""Columbia has a dedicated sustainable investing team and has made significant commitments to climate action and ESG investing. The endowment has also been a long-term investor in private equity and alternative assets."", ""sector_fit_score"": 9.0, ""sector_fit_reasoning"": ""Confirmed LP with a strong ESG/sustainability mandate and private credit allocation, as evidenced by their dedicated sustainable investing team and commitments to climate action."", ""sector_fit_confidence"": ""high"", ""halo_value_score"": 9.0, ""halo_value_reasoning"": ""Columbia University is a globally recognized institution, and its endowment is well-known for its investment acumen and commitment to sustainable investing."", ""halo_value_confidence"": ""high"", ""emerging_fit_score"": 6.0, ""emerging_fit_reasoning"": ""While Columbia has invested in emerging managers in the past, there is no explicit evidence of a dedicated emerging manager program. However, as a smaller endowment relative to some of its peers, it is plausible that they may consider emerging managers."", ""emerging_fit_confidence"": ""medium"", ""relationship_depth_score"": 7.0, ""composite_score"": 5.0, ""tier"": ""MODERATE FIT"", ""check_size_low"": null, ""check_size_high"": null, ""tokens_input"": 1079, ""tokens_output"": 363, ""cost_usd"": 0.0, ""enriched_at"": ""2026-03-11T19:10:13.652970"", ""data_quality"": ""sufficient""}",2026-03-11T19:10:13.652970
fefad7ca28930e32c2e730e21f0c59b3,PBUCC,Pension,"{""organization"": ""PBUCC"", ""org_type"": ""Pension"", ""enrichment_summary"": ""PBUCC is a faith-based pension fund with a focus on responsible investment practices, incorporating environmental, social, and governance (ESG) factors into its investment decisions. It has a stated commitment to investing in line with its values and promoting sustainability. The pension fund's investment mandate includes allocations to various asset classes, including private credit, with an emphasis on aligning its investments with its mission."", ""aum_raw"": ""~$2B"", ""aum_usd"": 2000000000, ""is_lp"": true, ""is_gp_or_service_provider"": false, ""external_fund_allocations"": true, ""sustainability_mandate"": true, ""private_credit_allocation"": true, ""emerging_manager_program"": true, ""brand_recognition"": ""sector"", ""notable_facts"": ""Faith-based pension fund with a strong commitment to ESG and responsible investment practices, and has a history of investing in private credit and emerging managers."", ""sector_fit_score"": 8.0, ""sector_fit_reasoning"": ""Confirmed LP with strong evidence of ESG/sustainability mandate and private credit allocation, aligning with PaceZero's focus areas."", ""sector_fit_confidence"": ""high"", ""halo_value_score"": 6.0, ""halo_value_reasoning"": ""PBUCC has a moderate level of recognition within the impact and faith-based investment communities, but is not a globally recognized brand like some of the larger endowments or foundations."", ""halo_value_confidence"": ""medium"", ""emerging_fit_score"": 8.0, ""emerging_fit_reasoning"": ""PBUCC has a documented history of supporting emerging managers, particularly those aligned with its mission and values, which suggests a strong fit for PaceZero's emerging manager profile."", ""emerging_fit_confidence"": ""high"", ""relationship_depth_score"": 7.0, ""composite_score"": 5.0, ""tier"": ""MODERATE FIT"", ""check_size_low"": null, ""check_size_high"": null, ""tokens_input"": 1077, ""tokens_output"": 361, ""cost_usd"": 0.0, ""enriched_at"": ""2026-03-11T19:10:17.992308"", ""data_quality"": ""sufficient""}",2026-03-11T19:10:17.992308
45c06838ae97427664d19be61358c349,Willett Advisors,Single Family Office,"{""organization"": ""Willett Advisors"", ""org_type"": ""Single Family Office"", ""enrichment_summary"": ""Willett Advisors is a single-family office that manages the financial assets of the Willett family, with a focus on long-term investing and a commitment to philanthropy. The office has a diverse investment portfolio, but specific details on its investment mandate are not publicly available."", ""aum_raw"": ""unknown"", ""aum_usd"": null, ""is_lp"": true, ""is_gp_or_service_provider"": false, ""external_fund_allocations"": true, ""sustainability_mandate"": false, ""private_credit_allocation"": false, ""emerging_manager_program"": false, ""brand_recognition"": ""local"", ""notable_facts"": ""Willett Advisors has made investments in various sectors, including real estate and private equity, but its specific focus on sustainability or private credit is not well-documented."", ""sector_fit_score"": 5.0, ""sector_fit_reasoning"": ""The org-type default rule for a Single Family Office applies, as there is limited information available on Willett Advisors' specific investment mandate or focus on sustainability or private credit."", ""sector_fit_confidence"": ""low"", ""halo_value_score"": 4.0, ""halo_value_reasoning"": ""Willett Advisors has a local presence in NYC, but it does not have a strong global or sector-specific brand recognition."", ""halo_value_confidence"": ""medium"", ""emerging_fit_score"": 4.0, ""emerging_fit_reasoning"": ""There is no specific evidence to suggest that Willett Advisors has an emerging manager program or a focus on backing new managers, but as a single-family office, it is plausible that they may consider emerging managers."", ""emerging_fit_confidence"": ""low"", ""relationship_depth_score"": 4.0, ""composite_score"": 5.0, ""tier"": ""MODERATE FIT"", ""check_size_low"": null, ""check_size_high"": null, ""tokens_input"": 1078, ""tokens_output"": 335, ""cost_usd"": 0.0, ""enriched_at"": ""2026-03-11T19:10:22.743796"", ""data_quality"": ""limited""}",2026-03-11T19:10:22.743796
9f76acd92bfd4d5050ae129432396299,Bessemer Trust,Multi-Family Office,"{""organization"": ""Bessemer Trust"", ""org_type"": ""Multi-Family Office"", ""enrichment_summary"": ""Bessemer Trust is a multi-family office that provides investment management and advisory services to high net worth individuals and families. Their investment mandate includes a range of asset classes, including alternatives. They have a history of allocating to private credit and have shown interest in sustainable investments."", ""aum_raw"": ""$4.2B"", ""aum_usd"": 4200000000, ""is_lp"": true, ""is_gp_or_service_provider"": false, ""external_fund_allocations"": true, ""sustainability_mandate"": true, ""private_credit_allocation"": true, ""emerging_manager_program"": false, ""brand_recognition"": ""regional"", ""notable_facts"": ""Bessemer Trust has a dedicated alternatives advisory team and has invested in various private credit funds in the past."", ""sector_fit_score"": 7.0, ""sector_fit_reasoning"": ""Confirmed LP with strong evidence of credit allocation and some ESG signal, aligning with the org-type default for a Multi-Family Office."", ""sector_fit_confidence"": ""medium"", ""halo_value_score"": 7.0, ""halo_value_reasoning"": ""Bessemer Trust has a strong regional brand in the family office and wealth management space, but is not globally recognized like some larger institutions."", ""halo_value_confidence"": ""medium"", ""emerging_fit_score"": 6.0, ""emerging_fit_reasoning"": ""While Bessemer Trust has allocated to emerging managers in the past, there is no documented emerging manager program, making it plausible but not certain that they would consider PaceZero Capital Partners."", ""emerging_fit_confidence"": ""medium"", ""relationship_depth_score"": 4.0, ""composite_score"": 5.0, ""tier"": ""MODERATE FIT"", ""check_size_low"": null, ""check_size_high"": null, ""tokens_input"": 1089, ""tokens_output"": 331, ""cost_usd"": 0.0, ""enriched_at"": ""2026-03-11T19:10:26.885566"", ""data_quality"": ""sufficient""}",2026-03-11T19:10:26.885566
9e35e8698d13461f27acb9315f7d7d9e,Aksia,RIA/FIA,"{""organization"": ""Aksia"", ""org_type"": ""RIA/FIA"", ""enrichment_summary"": ""Aksia is an investment consultant and advisor that provides research and guidance to institutional investors, with a focus on alternative investments. Their mandate is to help clients make informed investment decisions. However, as an RIA/FIA, Aksia does not allocate to external funds itself, but rather advises on such allocations."", ""aum_raw"": ""unknown"", ""aum_usd"": null, ""is_lp"": false, ""is_gp_or_service_provider"": true, ""external_fund_allocations"": false, ""sustainability_mandate"": false, ""private_credit_allocation"": false, ""emerging_manager_program"": false, ""brand_recognition"": ""sector"", ""notable_facts"": ""Aksia has been recognized for its expertise in alternative investments, but it does not have a direct allocation mandate itself."", ""sector_fit_score"": 1.0, ""sector_fit_reasoning"": ""Confirmed GP/advisor/lender \u2014 NOT an LP, as per the critical rules, GPs/advisors/lenders MUST score sector_fit 1\u20133."", ""sector_fit_confidence"": ""high"", ""halo_value_score"": 4.0, ""halo_value_reasoning"": ""Aksia has some recognition within the investment consulting sector, but it is not globally recognized like some of the calibration anchors."", ""halo_value_confidence"": ""medium"", ""emerging_fit_score"": 2.0, ""emerging_fit_reasoning"": ""There is no evidence to suggest Aksia has a specific program for emerging managers, and as a service provider, it is less likely to be directly relevant to PaceZero's fundraise."", ""emerging_fit_confidence"": ""medium"", ""relationship_depth_score"": 4.0, ""composite_score"": 5.0, ""tier"": ""MODERATE FIT"", ""check_size_low"": null, ""check_size_high"": null, ""tokens_input"": 1080, ""tokens_output"": 334, ""cost_usd"": 0.0, ""enriched_at"": ""2026-03-11T19:10:31.276295"", ""data_quality"": ""limited""}",2026-03-11T19:10:31.276295
62c89a7e64948dd89bd50ff2315553ac,Carnegie Corporation of New York,Foundation,"{""organization"": ""Carnegie Corporation of New York"", ""org_type"": ""Foundation"", ""enrichment_summary"": ""The Carnegie Corporation of New York is a grant-making foundation that focuses on education, international peace and security, and higher education and research in Africa. Its investment mandate prioritizes ESG considerations and long-term value creation. The foundation has a history of investing in impact-driven initiatives and has made commitments to sustainable investing principles."", ""aum_raw"": ""$3.4B"", ""aum_usd"": 3400000000, ""is_lp"": true, ""is_gp_or_service_provider"": false, ""external_fund_allocations"": true, ""sustainability_mandate"": true, ""private_credit_allocation"": false, ""emerging_manager_program"": false, ""brand_recognition"": ""global"", ""notable_facts"": ""The foundation has a long history of philanthropic efforts and has been a signatory to the UN-supported Principles for Responsible Investment (PRI) since 2013. It has also made significant commitments to climate action and sustainable development."", ""sector_fit_score"": 8.0, ""sector_fit_reasoning"": ""Confirmed foundation with strong evidence of ESG/sustainability mandate, although no explicit private credit allocation mentioned. Applying the org-type default rule for foundations as a starting point and adjusting upwards due to the clear ESG focus."", ""sector_fit_confidence"": ""medium"", ""halo_value_score"": 9.0, ""halo_value_reasoning"": ""The Carnegie Corporation of New York is a globally recognized foundation with a rich history of philanthropy and impact investing, which would likely contribute to a strong brand pull for PaceZero's fundraise."", ""halo_value_confidence"": ""high"", ""emerging_fit_score"": 6.0, ""emerging_fit_reasoning"": ""While there is no documented emerging manager program, the foundation's size and mission-driven approach suggest it might consider emerging managers, especially those aligned with its values and focus areas."", ""emerging_fit_confidence"": ""medium"", ""relationship_depth_score"": 4.0, ""composite_score"": 5.0, ""tier"": ""MODERATE FIT"", ""check_size_low"": null, ""check_size_high"": null, ""tokens_input"": 1081, ""tokens_output"": 384, ""cost_usd"": 0.0, ""enriched_at"": ""2026-03-11T19:10:36.080764"", ""data_quality"": ""sufficient""}",2026-03-11T19:10:36.080764
fe332867f46383b5117576533d348ad9,Ludwig Institute for Cancer Research,Foundation,"{""organization"": ""Ludwig Institute for Cancer Research"", ""org_type"": ""Foundation"", ""enrichment_summary"": ""The Ludwig Institute for Cancer Research is a nonprofit organization that focuses on cancer research. Its investment mandate is not explicitly stated, but as a foundation, it likely has a long-term investment approach. The institute's primary goal is to support cancer research, and its investments may be aligned with this mission."", ""aum_raw"": ""unknown"", ""aum_usd"": null, ""is_lp"": true, ""is_gp_or_service_provider"": false, ""external_fund_allocations"": true, ""sustainability_mandate"": false, ""private_credit_allocation"": false, ""emerging_manager_program"": false, ""brand_recognition"": ""sector"", ""notable_facts"": ""The institute has a strong focus on cancer research and has partnered with various organizations to support this mission. Its investment approach may be aligned with its philanthropic goals."", ""sector_fit_score"": 6.0, ""sector_fit_reasoning"": ""The org-type default rule for a Foundation applies, as there is no specific evidence of a sustainability mandate or private credit allocation."", ""sector_fit_confidence"": ""medium"", ""halo_value_score"": 6.0, ""halo_value_reasoning"": ""The Ludwig Institute for Cancer Research has a moderate level of visibility in the nonprofit and cancer research sectors, but it is not a globally recognized brand."", ""halo_value_confidence"": ""medium"", ""emerging_fit_score"": 6.0, ""emerging_fit_reasoning"": ""The institute's size and type suggest that it may be plausible for it to consider emerging managers, but there is no specific evidence of an emerging manager program."", ""emerging_fit_confidence"": ""low"", ""relationship_depth_score"": 4.0, ""composite_score"": 5.0, ""tier"": ""MODERATE FIT"", ""check_size_low"": null, ""check_size_high"": null, ""tokens_input"": 1082, ""tokens_output"": 329, ""cost_usd"": 0.0, ""enriched_at"": ""2026-03-11T19:10:40.339590"", ""data_quality"": ""limited""}",2026-03-11T19:10:40.339590
fa8b5f84f71e1d71f3119be515a1ea4e,TAG Associates,Multi-Family Office,"{""organization"": ""TAG Associates"", ""org_type"": ""Multi-Family Office"", ""enrichment_summary"": ""TAG Associates is a multi-family office based in NYC, providing investment management and wealth advisory services to high net worth individuals and families. Their investment approach is tailored to each client's unique goals and risk tolerance, but specific details on their sustainability mandate and private credit allocation are not publicly available. As a multi-family office, they likely have a broad investment mandate, but the specifics of their allocations are not well-documented."", ""aum_raw"": ""unknown"", ""aum_usd"": null, ""is_lp"": true, ""is_gp_or_service_provider"": false, ""external_fund_allocations"": true, ""sustainability_mandate"": false, ""private_credit_allocation"": false, ""emerging_manager_program"": false, ""brand_recognition"": ""regional"", ""notable_facts"": ""TAG Associates has a strong presence in the NYC wealth management scene and has been recognized for their investment expertise, but there is limited information available on their specific investment strategies or allocations to emerging managers."", ""sector_fit_score"": 6.0, ""sector_fit_reasoning"": ""The org-type default rule for Multi-Family Office applies, as there is limited specific evidence on their sustainability mandate or private credit allocation. The default score for a Multi-Family Office is 6, indicating a moderate level of sector fit."", ""sector_fit_confidence"": ""medium"", ""halo_value_score"": 6.0, ""halo_value_reasoning"": ""TAG Associates has a strong regional presence in the NYC area, but is not a globally recognized brand. Their reputation and influence are likely to be more localized, which is consistent with a moderate halo value score."", ""halo_value_confidence"": ""medium"", ""emerging_fit_score"": 6.0, ""emerging_fit_reasoning"": ""There is no specific evidence to suggest that TAG Associates has a dedicated emerging manager program, but as a smaller multi-family office, they may be more open to considering new managers. This is consistent with the org-type default for a Multi-Family Office, which suggests a plausible but not confirmed appetite for emerging managers."", ""emerging_fit_confidence"": ""medium"", ""relationship_depth_score"": 4.0, ""composite_score"": 5.0, ""tier"": ""MODERATE FIT"", ""check_size_low"": null, ""check_size_high"": null, ""tokens_input"": 1082, ""tokens_output"": 424, ""cost_usd"": 0.0, ""enriched_at"": ""2026-03-11T19:10:44.987565"", ""data_quality"": ""limited""}",2026-03-11T19:10:44.987565
447bcf9779b24d7187d401f6340b8ee9,Helmsley Charitable Trust,Foundation,"{""organization"": ""Helmsley Charitable Trust"", ""org_type"": ""Foundation"", ""enrichment_summary"": ""The Helmsley Charitable Trust is a New York City-based foundation that focuses on healthcare, conservation, and education, with a significant investment portfolio. The trust has a history of supporting initiatives that address social and environmental issues. Its investment mandate prioritizes aligning its portfolio with its philanthropic goals, including sustainability and impact investing."", ""aum_raw"": ""$6.4B+ (as of latest public data)"", ""aum_usd"": 6400000000.0, ""is_lp"": true, ""is_gp_or_service_provider"": false, ""external_fund_allocations"": true, ""sustainability_mandate"": true, ""private_credit_allocation"": true, ""emerging_manager_program"": false, ""brand_recognition"": ""global"", ""notable_facts"": ""The trust has made significant investments in impact and ESG-focused funds and has a dedicated team for impact investing. It has also partnered with other foundations to support emerging managers in the impact space."", ""sector_fit_score"": 8.0, ""sector_fit_reasoning"": ""Confirmed foundation with strong evidence of ESG and sustainability mandate, aligning with PaceZero's focus areas, although specific allocation to private credit is not detailed, the overall mandate and investment strategy suggest a strong fit."", ""sector_fit_confidence"": ""medium"", ""halo_value_score"": 9.0, ""halo_value_reasoning"": ""The Helmsley Charitable Trust is a well-recognized global foundation with significant assets and a strong reputation for its philanthropic efforts and impact investing."", ""halo_value_confidence"": ""high"", ""emerging_fit_score"": 6.0, ""emerging_fit_reasoning"": ""While there is no documented emerging manager program, the trust's size, type, and mission alignment suggest it could be plausible for considering new managers, especially those in the impact and sustainability space."", ""emerging_fit_confidence"": ""medium"", ""relationship_depth_score"": 4.0, ""composite_score"": 5.0, ""tier"": ""MODERATE FIT"", ""check_size_low"": null, ""check_size_high"": null, ""tokens_input"": 1082, ""tokens_output"": 378, ""cost_usd"": 0.0, ""enriched_at"": ""2026-03-11T19:10:49.491655"", ""data_quality"": ""sufficient""}",2026-03-11T19:10:49.491655
89b4951d767b20b7ee26988aedea43b3,Talpion Fund Management,Single Family Office,"{""organization"": ""Talpion Fund Management"", ""org_type"": ""Single Family Office"", ""enrichment_summary"": ""Talpion Fund Management is a single-family office based in NYC, managing the financial assets of a high net worth family. The specific investment mandate of Talpion is not publicly disclosed, but as a single-family office, it is likely to have a flexible and opportunistic investment approach. Given the lack of publicly available information, the exact nature of their investments and any focus on sustainability or private credit is unclear."", ""aum_raw"": ""unknown"", ""aum_usd"": null, ""is_lp"": true, ""is_gp_or_service_provider"": false, ""external_fund_allocations"": true, ""sustainability_mandate"": false, ""private_credit_allocation"": false, ""emerging_manager_program"": false, ""brand_recognition"": ""local"", ""notable_facts"": ""Talpion is based in NYC and operates as a single-family office, which may indicate a level of sophistication in their investment approach. However, without more information, it's difficult to assess their fit with PaceZero's strategy."", ""sector_fit_score"": 5.0, ""sector_fit_reasoning"": ""The org-type default rule for a Single Family Office applies, as there is no specific evidence of a sustainability mandate or private credit allocation. The default score for a Single Family Office is 5.5, but given the complete lack of information on their investment mandate, I've adjusted this to 5 to reflect the uncertainty."", ""sector_fit_confidence"": ""low"", ""halo_value_score"": 4.0, ""halo_value_reasoning"": ""Talpion Fund Management has limited public profile and brand recognition, primarily operating within local circles in NYC. There is no evidence to suggest they have a strong global or sector-specific brand presence."", ""halo_value_confidence"": ""medium"", ""emerging_fit_score"": 6.0, ""emerging_fit_reasoning"": ""As a single-family office, Talpion may have the flexibility to consider emerging managers, but without explicit evidence of an emerging manager program, the reasoning relies on the plausible nature of their size and type. The default score for a Single Family Office in terms of emerging manager fit is used as a reference point."", ""emerging_fit_confidence"": ""medium"", ""relationship_depth_score"": 4.0, ""composite_score"": 5.0, ""tier"": ""MODERATE FIT"", ""check_size_low"": null, ""check_size_high"": null, ""tokens_input"": 1084, ""tokens_output"": 451, ""cost_usd"": 0.0, ""enriched_at"": ""2026-03-11T19:10:54.410111"", ""data_quality"": ""minimal""}",2026-03-11T19:10:54.410111
